Compound_Name,SMILE
(Z)-hex-3-enal,O=CC/C=C\CC
(Z)-hex-3-en-1-ol,OCC/C=C\CC
(Z)-hept-4-enal,CC/C=C\CCC=O
"(5Z)-octa-1,5-dien-3-one",C=CC(=O)C/C=C\CC
(E)-3-phenylprop-2-en-1-ol,OC/C=C/c1ccccc1
"(2E,4E)-nona-2,4-dienal",O=C/C=C/C=C/CCCC
"(2E,6Z)-nona-2,6-dienal",O=C/C=C/CC/C=C\CC
[(Z)-hex-3-enyl] acetate,CC(=O)OCC/C=C\CC
(5R)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,O=C1C[C@H](C(=C)C)CC=C1C
"(2E,4E)-deca-2,4-dienal",O=C/C=C/C=C/CCCCC
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",OC/C=C(\C)CCC=C(C)C
"(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one",CC(=O)/C=C/C(C1(C)C)=C(C)CCC1
(E)-hex-2-enal,O=C/C=C/CCC
(E)-non-2-enal,O=C/C=C/CCCCCC
(E)-undec-2-enal,O=C/C=C/CCCCCCCC
[(E)-3-phenylprop-2-enyl] acetate,CC(=O)OC/C=C/c1ccccc1
ethyl (E)-3-phenylprop-2-enoate,CCOC(=O)/C=C/c1ccccc1
"(1R,5R)-1-isopropyl-4-methylene-bicyclo[3.1.0]hexane",CC(C)[C@]12[C@H](C1)C(=C)CC2
"(2E,6Z)-nona-2,6-dien-1-ol",OC\C=C\CC/C=C\CC
"(5R)-5-isopropyl-2-methyl-cyclohexa-1,3-diene",CC(C)[C@H]1CC=C(C)C=C1
"(E)-1-(2,6,6-trimethylcyclohexen-1-yl)but-2-en-1-one",C\C=C\C(=O)C1=C(C)CCCC1(C)C
(E)-dec-2-enal,O=C\C=C\CCCCCCC
(E)-hept-2-enal,O=C\C=C\CCCC
(Z)-dec-4-enal,O=CCC/C=C\CCCCC
(Z)-non-2-enal,O=C/C=C\CCCCCC
(Z)-oct-2-enal,O=C/C=C\CCCCC
ethyl 3-hydroxyhexanoate,CCC[C@@H](O)CC(=O)OCC
ethanol,OCC
propanal,O=CCC
acetic acid,O=C([O-])C
methylsulfanylmethane,CSC
2-methylpropanal,O=CC(C)C
propanoic acid,O=C([O-])CC
butan-1-ol,OCCCC
pent-1-en-3-one,CCC(=O)C=C
"butane-2,3-dione",CC(=O)C(=O)C
3-methylbutanal,O=CCC(C)C
2-methylpropanoic acid,O=C([O-])C(C)C
butanoic acid,O=C([O-])CCC
ethyl acetate,CC(=O)OCC
3-methylbutan-1-ol,CC(C)CCO
3-methylsulfanylprop-1-ene,C=CCSC
(methyldisulfanyl)methane,CSSC
"pentane-2,3-dione",CCC(=O)C(=O)C
hexanal,O=CCCCCC
3-methylbutanoic acid,O=C([O-])CC(C)C
pentanoic acid,O=C([O-])CCCC
methyl butanoate,COC(=O)CCC
methyl 2-methylpropanoate,COC(=O)C(C)C
hexan-1-ol,OCCCCCC
3-methylsulfanylpropanal,O=CCCSC
3-methylsulfanylpropan-1-ol,OCCCSC
2-methylphenol,Cc1c(O)cccc1
3-methylphenol,Cc1cc(O)ccc1
4-methylphenol,Cc1ccc(O)cc1
furan-2-ylmethanethiol,SCc1ccco1
2-methylfuran-3-thiol,C[C@@H]1C(=S)C=CO1
butyl acetate,CC(=O)OCCCC
ethyl 2-methylpropanoate,CC(C)C(=O)OCC
ethyl butanoate,CCOC(=O)CCC
hexanoic acid,O=C([O-])CCCCC
2-phenylacetaldehyde,O=CCc1ccccc1
4-ethenylphenol,C=Cc1ccc(O)cc1
2-phenylethanol,OCCc1ccccc1
3-ethylphenol,CCc1cc(O)ccc1
2-methoxyphenol,COc1c(O)cccc1
"1-(3,4-dihydro-2H-pyrrol-5-yl)propan-1-one",CCC(=O)C1=CCCN1
3-hydroxy-2-methylpyran-4-one,Cc1c(O)c(=O)cco1
oct-1-en-3-one,C=CC(=O)CCCCC
(methyltrisulfanyl)methane,CSSSC
octanal,O=CCCCCCCC
3-methylbutyl acetate,CC(=O)OCCC(C)C
ethyl 3-methylbutanoate,CCOC(=O)CC(C)C
ethyl pentanoate,CCOC(=O)CCCC
thiophen-2-ylmethanethiol,SCc1cccs1
1-(4-methylphenyl)ethanone,CC(=O)c1ccc(C)cc1
4-methoxybenzaldehyde,O=Cc1ccc(cc1)OC
methyl benzoate,COC(=O)c1ccccc1
"7-methyl-3-methylideneocta-1,6-diene",C=CC(=C)CCC=C(C)C
2-methoxy-4-methylphenol,Cc1cc(OC)c(O)cc1
2-methoxy-5-methylphenol,Cc1cc(O)c(cc1)OC
nonanal,O=CCCCCCCCC
ethyl hexanoate,CCOC(=O)CCCCC
hexyl acetate,CC(=O)OCCCCCC
ethyl 3-methylsulfanylpropanoate,CCOC(=O)CCSC
"1,3-benzodioxole-5-carbaldehyde",O=Cc(cc1)cc(c12)OCO2
4-ethenyl-2-methoxyphenol,C=Cc1cc(OC)c(O)cc1
ethyl benzoate,CCOC(=O)c1ccccc1
4-hydroxy-3-methoxybenzaldehyde,O=Cc1cc(OC)c(O)cc1
"2,6-dimethoxyphenol",COc1c(O)c(OC)ccc1
ethyl cyclohexanecarboxylate,CCOC(=O)C1CCCCC1
decanal,O=CCCCCCCCCC
2-methyl-3-(methyldisulfanyl)furan,Cc1occc1SSC
2-phenylethyl acetate,CC(=O)OCCc1ccccc1
ethyl 2-phenylacetate,CCOC(=O)Cc1ccccc1
decanoic acid,O=C([O-])CCCCCCCCC
ethyl octanoate,CCOC(=O)CCCCCCC
ethyl decanoate,CCOC(=O)CCCCCCCCC
"2,6-dimethylphenol",Cc1c(O)c(C)ccc1
"2,4-dimethylphenol",Cc1c(O)ccc(c1)C
7-methoxychromen-2-one,c1cc(=O)oc(c12)cc(OC)cc2
(3-methyl-3-sulfanyl-butyl) formate,SC(C)(C)CCOC=O
1-(methyltrisulfanyl)propane,CSSSCCC
1-(propyldisulfanyl)propane,CCCSSCCC
1-(propyltrisulfanyl)propane,CCCSSSCCC
"1,1-diethoxyethane",CCOC(C)OCC
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",C[C@@]12OC(C)(C)[C@@H](CC1)CC2
1-isopropenyl-4-methyl-benzene,CC(=C)c1ccc(C)cc1
2-amino-1-phenyl-ethanone,NCC(=O)c1ccccc1
2-methoxy-4-propyl-phenol,c1cc(O)c(OC)cc1CCC
2-phenylethanethiol,SCCc1ccccc1
3-phenylpropanoic acid,[O-]C(=O)CCc1ccccc1
4-ethylphenol,c1cc(O)ccc1CC
4-methoxy-2-methyl-butane-2-thiol,SC(C)(C)CCOC
4-isopropylbenzaldehyde,O=Cc(cc1)ccc1C(C)C
12-methyltridecanal,O=CCCCCCCCCCCC(C)C
bis(methylsulfanyl)methane,CSCSC
ethyl 4-methylpentanoate,CCOC(=O)CCC(C)C
nonan-2-one,O=C(C)CCCCCCC
octanoic acid,[O-]C(=O)CCCCCCC
3-ethoxy-4-hydroxy-benzaldehyde,CCOc1cc(C=O)ccc1O
2-Acetyl-2-thiazoline,CC(=O)C1=NCCS1
2-Acetylpyrazine,CC(=O)c1nccnc1
2-Methylpyrazine,Cc1nccnc1
Pyrazine,c1nccnc1
2-Pentylpyridine,CCCCCc1ccccn1
3-Methylindole (Skatole),[nH]1cc(C)c(c12)cccc2
Estragole,COc1ccc(cc1)CC=C
Eugenol,COc1c(O)ccc(c1)CC=C
Isoeugenol,C/C=C/c1cc(OC)c(O)cc1
trans-Anethol,C/C=C/c1ccc(cc1)OC
